ID_CVE,Confidencialidad,Integridad,Disponibilidad,Economico,Ideologico,Difamacion,Desafio_Intelectual,Destruccion,Secuestro,Obtencion,Ano_CVE,Identificador_CVE,genera,Tipo_de_vulnerabilidad,ID_ATT,Ano_ATT,Identificador_ATT,afectaAlPais,afectaLaEmpresa,Capa_del_ataque,Tipo_de_producto_afectado
CVE-2017-1,Baja,Normal,Alta,Si,Si,No,Si,No,No,Si,2017,1,ATT-2017-1,Gain_Information,ATT-2017-1,2017,1,Austria,Carrefour,Red_Local,Linux
CVE-2017-2,Normal,Normal,Normal,Si,No,Si,Si,Si,Si,Si,2017,2,ATT-2017-2,DoS,ATT-2017-2,2017,2,Francia,Endesa,Red_Internet,Hardware
CVE-2021-3,Baja,Alta,Baja,No,No,No,No,No,Si,Si,2021,3,ATT-2021-3,XSS,ATT-2021-3,2021,3,Bulgaria,Repsol,Fisica,iOs
CVE-2019-4,Baja,Normal,Baja,Si,No,No,Si,Si,No,Si,2019,4,ATT-2019-4,Http_Response_Splitting,ATT-2019-4,2019,4,Rumania,BBVA,Red_Adyacente,Mac
CVE-2017-5,Baja,Normal,Normal,No,No,Si,No,No,No,No,2017,5,ATT-2017-5,Sql_injection,ATT-2017-5,2017,5,Espana,Repsol,Red_Internet,Windows
CVE-2019-6,Alta,Normal,Alta,Si,No,No,No,No,Si,Si,2019,6,ATT-2019-6,Http_Response_Splitting,ATT-2019-6,2019,6,Suecia,Renault,Fisica,Mac
CVE-2021-7,Normal,Baja,Normal,No,No,No,Si,No,Si,Si,2021,7,ATT-2021-7,Overflow,ATT-2021-7,2021,7,Bulgaria,Seat,Fisica,Linux
CVE-2020-8,Baja,Normal,Baja,No,Si,No,Si,No,No,Si,2020,8,ATT-2020-8,XSS,ATT-2020-8,2020,8,Italia,Iberdrola,Red_Internet,iOs
CVE-2011-9,Alta,Normal,Baja,Si,No,No,No,No,Si,Si,2011,9,ATT-2011-9,Sql_injection,ATT-2011-9,2011,9,Polonia,Iberdrola,Red_Internet,Software
CVE-2013-10,Baja,Baja,Normal,Si,No,No,No,No,Si,Si,2013,10,ATT-2013-10,Overflow,ATT-2013-10,2013,10,Bulgaria,Repsol,Red_Internet,Software
CVE-2011-11,Normal,Alta,Normal,Si,Si,No,No,No,Si,Si,2011,11,ATT-2011-11,Gain_Privileges,ATT-2011-11,2011,11,Suiza,Repsol,Red_Local,Linux
CVE-2017-12,Alta,Baja,Normal,No,No,No,No,Si,No,No,2017,12,ATT-2017-12,Gain_Privileges,ATT-2017-12,2017,12,Polonia,Repsol,Red_Local,Mac
CVE-2020-13,Alta,Baja,Normal,Si,Si,No,No,Si,Si,Si,2020,13,ATT-2020-13,Gain_Privileges,ATT-2020-13,2020,13,Alemania,Repsol,Red_Adyacente,Software
CVE-2016-14,Baja,Normal,Baja,Si,No,Si,No,No,Si,Si,2016,14,ATT-2016-14,Overflow,ATT-2016-14,2016,14,Finlandia,Telefonica,Red_Adyacente,Software
CVE-2018-15,Alta,Alta,Baja,Si,No,Si,No,No,Si,No,2018,15,ATT-2018-15,XSS,ATT-2018-15,2018,15,Polonia,Endesa,Red_Local,Hardware
CVE-2019-16,Normal,Normal,Baja,Si,Si,Si,Si,No,No,Si,2019,16,ATT-2019-16,DoS,ATT-2019-16,2019,16,Italia,Cepsa,Red_Internet,iOs
CVE-2019-17,Normal,Baja,Normal,No,Si,Si,Si,No,No,No,2019,17,ATT-2019-17,Memory_Corruption,ATT-2019-17,2019,17,Suiza,Caixabank,Red_Local,Software
CVE-2021-18,Alta,Alta,Baja,Si,No,No,Si,No,Si,No,2021,18,ATT-2021-18,DoS,ATT-2021-18,2021,18,Bulgaria,Cepsa,Red_Local,Software
CVE-2013-19,Baja,Baja,Baja,Si,No,No,No,Si,No,Si,2013,19,ATT-2013-19,Gain_Privileges,ATT-2013-19,2013,19,Suiza,Iberdrola,Red_Internet,Software
CVE-2018-20,Normal,Alta,Baja,Si,Si,No,Si,Si,No,No,2018,20,ATT-2018-20,XSS,ATT-2018-20,2018,20,Polonia,Renault,Red_Adyacente,Android
CVE-2013-21,Baja,Alta,Alta,No,No,Si,No,Si,Si,Si,2013,21,ATT-2013-21,Gain_Privileges,ATT-2013-21,2013,21,Dinamarca,Endesa,Red_Local,Mac
CVE-2012-22,Baja,Baja,Normal,Si,Si,No,No,Si,Si,No,2012,22,ATT-2012-22,Overflow,ATT-2012-22,2012,22,Rumania,Ford,Red_Adyacente,Mac
CVE-2022-23,Normal,Baja,Normal,No,No,Si,Si,No,Si,No,2022,23,ATT-2022-23,Memory_Corruption,ATT-2022-23,2022,23,Suiza,Caixabank,Fisica,Hardware
CVE-2022-24,Normal,Alta,Baja,No,No,Si,No,Si,Si,Si,2022,24,ATT-2022-24,XSS,ATT-2022-24,2022,24,Dinamarca,Telefonica,Red_Internet,Android
CVE-2021-25,Baja,Normal,Baja,No,No,Si,No,No,No,Si,2021,25,ATT-2021-25,Gain_Information,ATT-2021-25,2021,25,Bulgaria,Repsol,Red_Internet,Linux
CVE-2014-26,Normal,Baja,Alta,No,No,Si,No,Si,No,No,2014,26,ATT-2014-26,Code_Execution,ATT-2014-26,2014,26,Finlandia,Telefonica,Red_Internet,Linux
CVE-2019-27,Baja,Normal,Baja,No,No,No,No,Si,No,No,2019,27,ATT-2019-27,Gain_Privileges,ATT-2019-27,2019,27,Suiza,Carrefour,Fisica,Android
CVE-2010-28,Baja,Normal,Alta,Si,Si,Si,Si,No,No,Si,2010,28,ATT-2010-28,Http_Response_Splitting,ATT-2010-28,2010,28,Polonia,Iberdrola,Red_Internet,Android
CVE-2017-29,Alta,Baja,Alta,No,No,No,Si,Si,No,Si,2017,29,ATT-2017-29,Code_Execution,ATT-2017-29,2017,29,Francia,Endesa,Fisica,Software
CVE-2010-30,Alta,Normal,Alta,Si,Si,Si,Si,No,Si,No,2010,30,ATT-2010-30,Code_Execution,ATT-2010-30,2010,30,Polonia,Renault,Red_Local,iOs
CVE-2021-31,Normal,Baja,Normal,Si,No,No,No,Si,No,No,2021,31,ATT-2021-31,Memory_Corruption,ATT-2021-31,2021,31,Rumania,Caixabank,Red_Internet,Mac
CVE-2012-32,Normal,Normal,Baja,No,Si,No,Si,Si,Si,Si,2012,32,ATT-2012-32,XSS,ATT-2012-32,2012,32,Francia,Telefonica,Red_Adyacente,Linux
CVE-2011-33,Normal,Normal,Alta,No,Si,No,Si,No,Si,No,2011,33,ATT-2011-33,Gain_Privileges,ATT-2011-33,2011,33,Polonia,Ford,Red_Internet,Windows
CVE-2011-34,Baja,Alta,Normal,Si,No,Si,Si,Si,No,No,2011,34,ATT-2011-34,Gain_Information,ATT-2011-34,2011,34,Alemania,Iberdrola,Red_Local,iOs
CVE-2021-35,Alta,Baja,Baja,Si,No,Si,No,Si,No,No,2021,35,ATT-2021-35,Overflow,ATT-2021-35,2021,35,Suiza,Inditex,Red_Internet,Mac
CVE-2018-36,Baja,Baja,Baja,No,Si,No,No,Si,Si,No,2018,36,ATT-2018-36,Sql_injection,ATT-2018-36,2018,36,Austria,Ford,Fisica,Mac
CVE-2016-37,Normal,Normal,Baja,Si,Si,No,No,Si,Si,Si,2016,37,ATT-2016-37,Http_Response_Splitting,ATT-2016-37,2016,37,Dinamarca,Endesa,Red_Adyacente,Windows
CVE-2022-38,Baja,Baja,Normal,Si,Si,Si,Si,Si,No,Si,2022,38,ATT-2022-38,DoS,ATT-2022-38,2022,38,Polonia,Carrefour,Red_Local,Mac
CVE-2015-39,Alta,Normal,Baja,No,Si,No,Si,No,Si,No,2015,39,ATT-2015-39,Gain_Information,ATT-2015-39,2015,39,Grecia,Endesa,Fisica,iOs
CVE-2013-40,Baja,Alta,Alta,Si,Si,No,Si,No,No,Si,2013,40,ATT-2013-40,XSS,ATT-2013-40,2013,40,Alemania,Carrefour,Fisica,Mac
CVE-2012-41,Alta,Baja,Baja,Si,Si,No,No,Si,Si,Si,2012,41,ATT-2012-41,Code_Execution,ATT-2012-41,2012,41,Polonia,Endesa,Red_Local,Software
CVE-2010-42,Normal,Alta,Normal,No,No,No,Si,Si,Si,Si,2010,42,ATT-2010-42,Gain_Information,ATT-2010-42,2010,42,Austria,Endesa,Red_Internet,Mac
CVE-2013-43,Normal,Alta,Normal,Si,No,No,No,Si,No,Si,2013,43,ATT-2013-43,DoS,ATT-2013-43,2013,43,Polonia,Repsol,Red_Local,Windows
CVE-2022-44,Normal,Normal,Alta,Si,No,Si,No,Si,No,Si,2022,44,ATT-2022-44,Memory_Corruption,ATT-2022-44,2022,44,Bulgaria,Mercadona,Red_Local,Software
CVE-2015-45,Alta,Normal,Baja,No,No,No,No,No,No,Si,2015,45,ATT-2015-45,XSS,ATT-2015-45,2015,45,Polonia,Telefonica,Fisica,Android
CVE-2020-46,Alta,Normal,Alta,No,No,Si,No,Si,No,No,2020,46,ATT-2020-46,Gain_Information,ATT-2020-46,2020,46,Italia,Repsol,Fisica,Windows
CVE-2011-47,Baja,Normal,Alta,Si,No,Si,No,Si,Si,Si,2011,47,ATT-2011-47,Http_Response_Splitting,ATT-2011-47,2011,47,Alemania,Seat,Red_Adyacente,Software
CVE-2018-48,Baja,Baja,Alta,No,Si,Si,No,No,No,No,2018,48,ATT-2018-48,Overflow,ATT-2018-48,2018,48,Austria,Ford,Red_Adyacente,iOs
CVE-2020-49,Normal,Normal,Normal,Si,Si,Si,No,Si,No,Si,2020,49,ATT-2020-49,DoS,ATT-2020-49,2020,49,Italia,Iberdrola,Fisica,Mac
CVE-2015-50,Baja,Baja,Normal,Si,Si,No,No,Si,No,No,2015,50,ATT-2015-50,XSS,ATT-2015-50,2015,50,Suecia,Mercadona,Red_Adyacente,Android
CVE-2010-51,Baja,Alta,Baja,Si,Si,No,No,Si,No,Si,2010,51,ATT-2010-51,DoS,ATT-2010-51,2010,51,Espana,Caixabank,Red_Internet,Linux
CVE-2010-52,Alta,Baja,Alta,No,No,Si,Si,Si,Si,No,2010,52,ATT-2010-52,Memory_Corruption,ATT-2010-52,2010,52,Suiza,Repsol,Fisica,Software
CVE-2010-53,Baja,Baja,Baja,No,No,No,No,Si,Si,No,2010,53,ATT-2010-53,Memory_Corruption,ATT-2010-53,2010,53,Francia,Seat,Red_Internet,Linux
CVE-2014-54,Normal,Alta,Alta,Si,Si,No,Si,Si,Si,Si,2014,54,ATT-2014-54,Gain_Information,ATT-2014-54,2014,54,Polonia,Ford,Fisica,Hardware
CVE-2017-55,Alta,Alta,Alta,Si,No,No,Si,Si,No,No,2017,55,ATT-2017-55,Code_Execution,ATT-2017-55,2017,55,Finlandia,Santander,Fisica,Linux
CVE-2015-56,Alta,Normal,Normal,No,Si,No,No,Si,No,Si,2015,56,ATT-2015-56,Http_Response_Splitting,ATT-2015-56,2015,56,Rumania,Inditex,Red_Local,Windows
CVE-2011-57,Alta,Normal,Normal,Si,No,Si,Si,No,No,No,2011,57,ATT-2011-57,XSS,ATT-2011-57,2011,57,Espana,Renault,Red_Adyacente,Mac
CVE-2014-58,Normal,Normal,Alta,Si,No,No,No,Si,Si,Si,2014,58,ATT-2014-58,Code_Execution,ATT-2014-58,2014,58,Polonia,Endesa,Red_Adyacente,Mac
CVE-2014-59,Normal,Normal,Alta,No,No,Si,Si,Si,No,No,2014,59,ATT-2014-59,Http_Response_Splitting,ATT-2014-59,2014,59,Suecia,Accenture,Fisica,Windows
CVE-2018-60,Normal,Alta,Normal,Si,No,Si,No,No,Si,No,2018,60,ATT-2018-60,Gain_Information,ATT-2018-60,2018,60,Finlandia,BBVA,Fisica,Android
CVE-2018-61,Normal,Baja,Normal,No,Si,Si,Si,Si,No,No,2018,61,ATT-2018-61,Gain_Information,ATT-2018-61,2018,61,Suiza,Santander,Red_Local,iOs
CVE-2022-62,Normal,Alta,Alta,Si,No,No,Si,No,No,No,2022,62,ATT-2022-62,Sql_injection,ATT-2022-62,2022,62,Grecia,Carrefour,Red_Internet,iOs
CVE-2012-63,Alta,Alta,Baja,Si,Si,No,Si,Si,No,Si,2012,63,ATT-2012-63,Code_Execution,ATT-2012-63,2012,63,Espana,Iberdrola,Red_Adyacente,iOs
CVE-2022-64,Alta,Baja,Baja,Si,No,No,Si,No,No,No,2022,64,ATT-2022-64,Code_Execution,ATT-2022-64,2022,64,Rumania,Ford,Fisica,iOs
CVE-2019-65,Normal,Alta,Normal,No,No,Si,No,No,Si,No,2019,65,ATT-2019-65,Memory_Corruption,ATT-2019-65,2019,65,Alemania,Iberdrola,Red_Local,Android
CVE-2022-66,Baja,Normal,Alta,No,No,Si,Si,Si,Si,Si,2022,66,ATT-2022-66,Gain_Privileges,ATT-2022-66,2022,66,Francia,Inditex,Red_Adyacente,iOs
CVE-2015-67,Alta,Alta,Alta,Si,Si,Si,No,Si,No,No,2015,67,ATT-2015-67,DoS,ATT-2015-67,2015,67,Italia,Seat,Red_Local,Windows
CVE-2016-68,Alta,Normal,Baja,No,No,No,No,Si,Si,No,2016,68,ATT-2016-68,Gain_Privileges,ATT-2016-68,2016,68,Grecia,Seat,Fisica,Linux
CVE-2010-69,Alta,Normal,Alta,Si,Si,Si,No,No,Si,No,2010,69,ATT-2010-69,Overflow,ATT-2010-69,2010,69,Finlandia,Seat,Red_Adyacente,iOs
CVE-2018-70,Normal,Normal,Baja,No,Si,No,Si,Si,No,Si,2018,70,ATT-2018-70,Gain_Information,ATT-2018-70,2018,70,Suecia,Telefonica,Fisica,Hardware
CVE-2012-71,Baja,Alta,Normal,No,Si,No,Si,Si,Si,No,2012,71,ATT-2012-71,Code_Execution,ATT-2012-71,2012,71,Suiza,Accenture,Red_Adyacente,Mac
CVE-2010-72,Baja,Baja,Baja,No,No,No,Si,No,Si,Si,2010,72,ATT-2010-72,Code_Execution,ATT-2010-72,2010,72,Bulgaria,Santander,Red_Local,Linux
CVE-2013-73,Normal,Alta,Alta,Si,No,No,Si,Si,Si,No,2013,73,ATT-2013-73,Overflow,ATT-2013-73,2013,73,Italia,Inditex,Fisica,Android
CVE-2022-74,Alta,Alta,Alta,Si,No,No,Si,Si,Si,No,2022,74,ATT-2022-74,Http_Response_Splitting,ATT-2022-74,2022,74,Suecia,Caixabank,Red_Adyacente,iOs
CVE-2015-75,Baja,Normal,Alta,Si,No,Si,No,No,Si,No,2015,75,ATT-2015-75,Overflow,ATT-2015-75,2015,75,Suiza,Repsol,Red_Internet,Hardware
