ID_CVE,Confidencialidad,Integridad,Disponibilidad,Economico,Ideologico,Difamacion,Desafio_Intelectual,Destruccion,Secuestro,Obtencion,Ano_CVE,Identificador_CVE,genera,Tipo_de_vulnerabilidad,ID_ATT,Ano_ATT,Identificador_ATT,afectaAlPais,afectaLaEmpresa,Capa_del_ataque,Tipo_de_producto_afectado
CVE-2014-1,Baja,Baja,Baja,No,No,No,Si,No,No,No,2014,1,ATT-2014-1,Memory_Corruption,ATT-2014-1,2014,1,Austria,Accenture,Red_Internet,Linux
CVE-2017-2,Baja,Alta,Alta,Si,Si,No,Si,Si,No,Si,2017,2,ATT-2017-2,Gain_Information,ATT-2017-2,2017,2,Polonia,Renault,Red_Internet,Linux
CVE-2020-3,Alta,Baja,Normal,No,No,No,Si,Si,No,No,2020,3,ATT-2020-3,Http_Response_Splitting,ATT-2020-3,2020,3,Bulgaria,Carrefour,Red_Internet,Mac
CVE-2014-4,Baja,Alta,Alta,No,No,Si,Si,No,Si,Si,2014,4,ATT-2014-4,DoS,ATT-2014-4,2014,4,Austria,Ford,Red_Adyacente,Linux
CVE-2013-5,Normal,Alta,Baja,No,No,No,No,No,No,Si,2013,5,ATT-2013-5,XSS,ATT-2013-5,2013,5,Rumania,Accenture,Fisica,iOs
CVE-2022-6,Alta,Normal,Alta,Si,No,No,Si,No,Si,Si,2022,6,ATT-2022-6,Sql_injection,ATT-2022-6,2022,6,Francia,BBVA,Red_Local,iOs
CVE-2018-7,Normal,Normal,Alta,No,Si,Si,Si,Si,No,Si,2018,7,ATT-2018-7,Sql_injection,ATT-2018-7,2018,7,Suiza,Repsol,Red_Internet,Hardware
CVE-2013-8,Normal,Baja,Alta,Si,No,Si,No,Si,No,Si,2013,8,ATT-2013-8,Gain_Information,ATT-2013-8,2013,8,Italia,Endesa,Red_Adyacente,Windows
CVE-2011-9,Alta,Alta,Normal,Si,No,Si,Si,Si,Si,Si,2011,9,ATT-2011-9,Memory_Corruption,ATT-2011-9,2011,9,Polonia,Iberdrola,Red_Internet,Android
CVE-2017-10,Alta,Alta,Normal,Si,No,No,No,No,Si,No,2017,10,ATT-2017-10,Overflow,ATT-2017-10,2017,10,Dinamarca,Seat,Fisica,Android
CVE-2018-11,Normal,Alta,Baja,Si,No,No,No,No,No,Si,2018,11,ATT-2018-11,Overflow,ATT-2018-11,2018,11,Portugal,Telefonica,Red_Internet,iOs
CVE-2018-12,Alta,Alta,Alta,Si,Si,No,No,Si,No,Si,2018,12,ATT-2018-12,Code_Execution,ATT-2018-12,2018,12,Portugal,Mercadona,Fisica,Software
CVE-2019-13,Alta,Baja,Alta,Si,No,Si,Si,No,Si,No,2019,13,ATT-2019-13,XSS,ATT-2019-13,2019,13,Italia,Iberdrola,Red_Adyacente,Software
CVE-2016-14,Alta,Baja,Baja,No,No,Si,No,No,Si,Si,2016,14,ATT-2016-14,Gain_Privileges,ATT-2016-14,2016,14,Suiza,Iberdrola,Red_Internet,Linux
CVE-2018-15,Normal,Alta,Normal,No,No,No,Si,Si,Si,Si,2018,15,ATT-2018-15,Code_Execution,ATT-2018-15,2018,15,Italia,Endesa,Red_Adyacente,Mac
CVE-2017-16,Normal,Baja,Baja,Si,No,Si,Si,Si,Si,No,2017,16,ATT-2017-16,Code_Execution,ATT-2017-16,2017,16,Bulgaria,Repsol,Red_Internet,Windows
CVE-2018-17,Alta,Normal,Baja,Si,No,Si,Si,Si,Si,No,2018,17,ATT-2018-17,Overflow,ATT-2018-17,2018,17,Bulgaria,Seat,Red_Local,iOs
CVE-2016-18,Alta,Normal,Normal,Si,Si,Si,No,No,No,Si,2016,18,ATT-2016-18,DoS,ATT-2016-18,2016,18,Polonia,Iberdrola,Red_Internet,Linux
CVE-2014-19,Baja,Alta,Baja,Si,Si,No,Si,No,No,No,2014,19,ATT-2014-19,Code_Execution,ATT-2014-19,2014,19,Suecia,Carrefour,Red_Local,Mac
CVE-2014-20,Normal,Alta,Normal,No,Si,Si,Si,Si,Si,Si,2014,20,ATT-2014-20,Code_Execution,ATT-2014-20,2014,20,Portugal,Seat,Fisica,Android
CVE-2021-21,Normal,Alta,Alta,No,Si,No,No,No,Si,Si,2021,21,ATT-2021-21,Memory_Corruption,ATT-2021-21,2021,21,Rumania,Cepsa,Red_Adyacente,Linux
CVE-2011-22,Baja,Alta,Alta,No,Si,Si,Si,Si,Si,Si,2011,22,ATT-2011-22,XSS,ATT-2011-22,2011,22,Bulgaria,Repsol,Red_Adyacente,Android
CVE-2018-23,Alta,Baja,Baja,No,No,No,Si,Si,No,No,2018,23,ATT-2018-23,Http_Response_Splitting,ATT-2018-23,2018,23,Suecia,Endesa,Red_Local,Android
CVE-2018-24,Normal,Normal,Alta,Si,No,Si,Si,No,Si,No,2018,24,ATT-2018-24,Gain_Privileges,ATT-2018-24,2018,24,Espana,Endesa,Red_Local,Hardware
CVE-2014-25,Alta,Baja,Baja,Si,Si,Si,Si,Si,Si,No,2014,25,ATT-2014-25,Code_Execution,ATT-2014-25,2014,25,Francia,Accenture,Red_Local,Windows
